Datetime,Pressure,Atmosphere,Altitude,Tbm,Tds
2016-03-27 10:17:12,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:13,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:14,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:15,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:17:16,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:17:17,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:17:18,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:17:19,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:20,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:17:21,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:22,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:17:23,101148,0.9983,14.74,25.5,27.3
2016-03-27 10:17:24,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:25,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:26,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:17:27,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:17:28,101137,0.9981,15.66,25.5,27.3
2016-03-27 10:17:29,101119,0.9980,17.16,25.5,27.3
2016-03-27 10:17:30,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:32,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:33,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:17:34,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:17:35,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:36,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:37,101131,0.9981,16.16,25.5,27.3
2016-03-27 10:17:38,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:17:39,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:40,101125,0.9980,16.66,25.5,27.3
2016-03-27 10:17:41,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:42,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:43,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:17:44,101145,0.9982,15.00,25.5,27.3
2016-03-27 10:17:45,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:46,101137,0.9981,15.66,25.6,27.3
2016-03-27 10:17:47,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:48,101128,0.9981,16.41,25.5,27.3
2016-03-27 10:17:49,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:17:50,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:51,101142,0.9982,15.25,25.5,27.3
2016-03-27 10:17:52,101134,0.9981,15.91,25.5,27.3
2016-03-27 10:17:53,101140,0.9982,15.41,25.5,27.3
2016-03-27 10:17:54,101140,0.9982,15.41,25.6,27.3
2016-03-27 10:17:55,101142,0.9982,15.25,25.6,27.3
2016-03-27 10:17:57,101140,0.9982,15.41,25.6,27.3
